id,name_jp,name_cn,name_en,mal_id,website,on_air_date,bgm_image_url
247417,上野さんは不器用,笨拙之极的上野,"How Clumsy You Are, Miss Ueno.",37920,http://miss-ueno.com/,2019-01-07 00:30:00+09,1f/3f/247417_O2YP9
249637,私に天使が舞い降りた！,天使降临到了我身边！,Wataten!: An Angel Flew Down to Me,37993,http://watatentv.com/,2019-01-08 22:00:00+09,f3/2d/249637_aK1CA
243916,約束のネバーランド 第1期,约定的梦幻岛 第1期,The Promised Neverland Season 1,37779,https://neverland-anime.com/1st/,2019-01-11 00:55:00+09,ff/49/243916_XXJsd
256114,五等分の花嫁 第1期,五等分的花嫁 第1期,The Quintessential Quintuplets Season 1,38101,https://www.tbs.co.jp/anime/5hanayome/,2019-01-11 01:28:00+09,fd/cd/256114_2S1Yj
228254,デート・ア・ライブIII,约会大作战 第3期,Date A Live III,36633,http://date-a-live-anime.com/,2019-01-11 21:30:00+09,73/8c/228254_X7Y56
253628,ドメスティックな彼女,家有女友,Domestic Girlfriend,37982,http://domekano-anime.com/,2019-01-12 01:55:00+09,33/f9/253628_F42y2
248175,かぐや様は告らせたい～天才たちの恋愛頭脳戦～ (第1期),辉夜大小姐想让我告白～天才们的恋爱头脑战～ (第1期),Kaguya-sama: Love is War Season 1,40591,https://kaguya.love/1st/,2019-01-12 23:30:00+09,2a/f7/248175_4pqpv
204135,この世の果てで恋を唄う少女YU-NO,在世界尽头咏唱恋曲的少女YU-NO,YU-NO: A Girl Who Chants Love at the Bound of this World,34620,https://yuno-anime.com/,2019-04-02 23:00:00+09,66/f5/204135_LubD7
266455,フルーツバスケット 2019年版第1期,水果篮子 2019年版第1期,Fruits Basket 2019 Season 1,38680,https://fruba.jp/,2019-04-06 01:23:00+09,20/f2/266455_fRBdM
268510,川柳少女,川柳少女,Senryu Girl,38787,http://senryu-girl-official.com/,2019-04-06 01:55:00+09,b4/fb/268510_XKKrF
268412,みだらな青ちゃんは勉強ができない,淫乱的青酱不能学习,Ao-chan Can't Study!,38778,http://aochan-anime.com/,2019-04-06 02:10:00+09,7d/87/268412_P63Pf
257369,ぼくたちは勉強ができない (第1期),我们真的学不来 (第1期),We Never Learn (Season 1),38186,https://boku-ben.com/,2019-04-07 00:30:00+09,21/a6/257369_32HM0
268165,世話やきキツネの仙狐さん,贤惠幼妻仙狐小姐,The Helpful Fox Senko-san,38759,http://senkosan.com/,2019-04-10 22:30:00+09,57/96/268165_qOQsQ
239912,キャロル＆チューズデイ,Carole & Tuesday,Carole & Tuesday,37435,http://caroleandtuesday.com/,2019-04-11 00:55:00+09,50/aa/239912_z34n4
265614,手品先輩,魔术学姐,Magical Sempai,38610,http://tejina-senpai.jp/,2019-07-02 23:00:00+09,54/42/265614_1SxBG
276187,ソウナンですか？,你遭难了吗？,Are You Lost?,39456,https://sounandesuka.jp/,2019-07-02 23:15:00+09,ce/70/276187_EyOp6
271724,ダンベル何キロ持てる？,流汗吧！健身少女,How Heavy Are the Dumbbells You Lift?,39026,https://dumbbell-anime.jp/,2019-07-03 22:30:00+09,b7/b7/271724_32Jou
265708,女子高生の無駄づかい,女高中生的虚度日常,Wasteful Days of High School Girls,38619,http://jyoshimuda.com/,2019-07-05 22:00:00+09,f3/d0/265708_QDkDe
268070,荒ぶる季節の乙女どもよ。,骚动时节的少女们啊。,O Maidens in Your Savage Season,38753,http://araoto-anime.com/,2019-07-06 02:25:00+09,22/ad/268070_UEueQ
247548,ナカノヒトゲノム【実況中】,中之人基因组【实况中】,The Ones Within,37926,http://nhg-anime.com/,2019-07-07 22:00:00+09,88/88/247548_3SQYx
271151,からかい上手の高木さん 第2期,擅长捉弄的高木同学 第2期,Teasing Master Takagi-san Season 2,38993,https://takagi3.me/,2019-07-07 23:30:00+09,f5/c8/271151_UB2n6
275371,可愛ければ変態でも好きになってくれますか？,只要长得可爱，即使是变态你也喜欢吗？,"Hensuki: Are You Willing to Fall in Love with a Pervert, as Long as She's a Cutie?",39326,https://hensuki.com/,2019-07-08 20:00:00+09,54/bb/275371_naGaN
272510,まちカドまぞく,街角魔族,The Demon Girl Next Door,39071,https://www.tbs.co.jp/anime/machikado/,2019-07-12 01:28:00+09,af/22/272510_T11Iw
238004,ダンジョンに出会いを求めるのは間違っているだろうかII,在地下城寻求邂逅是否搞错了什么 第2期,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,37347,http://danmachi.com/danmachi2/,2019-07-13 00:30:00+09,8e/d1/238004_F9Hgn
262943,俺を好きなのはお前だけかよ,喜欢本大爷的竟然就你一个？,Oresuki: Are You the Only One Who Loves Me?,38483,https://ore.ski/tv/,2019-10-03 00:30:00+09,22/d7/262943_L1Vld
259790,放課後さいころ倶楽部,放学后桌游俱乐部,After School Dice Club,38276,https://saikoro-club.com/,2019-10-03 02:11:00+09,0c/90/259790_5y7OS
278220,厨病激発ボーイ,厨病激发男孩,Outburst Dreamer Boys,38390,http://chubyou.net/,2019-10-04 22:00:00+09,c0/7a/278220_61O3u
282564,戦×恋,战×恋,Val × Love,39799,https://val-love.com/,2019-10-05 23:00:00+09,f2/5e/282564_793dF
285130,ぼくたちは勉強ができない！ (第2期),我们真的学不来！ (第2期),We Never Learn! (Season 2),40004,https://boku-ben.com/,2019-10-06 00:30:00+09,80/0f/285130_brGSR
238962,私、能力は平均値でって言ったよね！,我，不是说了能力要平均值么！,Didn't I Say to Make My Abilities Average in the Next Life?!,37393,https://noukin-anime.com/,2019-10-07 23:30:00+09,2e/97/238962_FHnTT
264356,アサシンズプライド,刺客守则,Assassins Pride,38572,https://assassinspride-anime.com/,2019-10-10 23:30:00+09,86/9e/264356_QGqgU
248665,星合の空,星合之空,Stars Align,37972,https://www.tbs.co.jp/anime/hoshiai/,2019-10-11 01:58:00+09,b7/89/248665_53o1H
279457,ソードアート・オンライン アリシゼーション War of Underworld 第1クール (第3期第2章),刀剑神域 爱丽丝篇 异界战争 第1部 (第3期第2部),Sword Art Online: Alicization - War of Underworld Part 1 (Season 3 Part 2),39597,https://sao-alicization.net/,2019-10-13 00:00:00+09,dd/a6/279457_2p2B9
263771,ライフル・イズ・ビューティフル,美妙射击部,Rifle Is Beautiful,38529,https://chidori-high-school.com/,2019-10-13 23:00:00+09,07/ea/263771_8n4N9
